Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,13.521,125,42.792,
1,13.2254,118,39.715,86
2,26.5273,123,42.0242,90
3,11.4362,120,40.7335,86
4,11.8365,120,40.9865,88
5,16.2057,113,69.2122,86
6,14.64,114,42.7834,80
7,23.2437,123,66.3055,81
8,15.1158,111,67.175,86
9,13.9296,112,69.2529,85
