Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,82.4321,138,72.697,
1,67.8572,132,56.2948,82
2,67.8035,124,55.4006,81
3,76.0738,137,54.3828,85
4,62.7916,134,60.6386,93
5,79.7524,140,57.971,90
6,65.0727,137,58.6422,81
7,73.2336,148,76.9628,82
8,70.3715,159,56.5937,102
9,77.4874,137,57.3935,104
