Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,13.3755,92,8.10123,
1,6.49233,102,8.88367,67
2,6.16125,106,7.40037,70
3,6.06943,113,8.46856,72
4,5.98879,109,8.09637,84
5,5.82754,125,8.07779,91
6,5.96947,130,7.70858,101
7,7.39321,129,7.84201,92
8,7.27723,127,8.76512,93
9,7.26162,128,8.51994,93
