Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,91.8386,41,21.0307,
1,14.5142,37,21.9768,38
2,10.8349,35,15.5466,33
3,21.4376,40,45.0536,34
4,27.2237,36,43.2448,36
5,17.4975,36,34.6714,34
6,26.5894,38,42.9227,32
7,28.534,37,43.0788,34
8,27.3198,33,45.2449,32
9,26.5019,35,47.428,31
