Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,14.229,41,2.27581,
1,25.7688,37,2.05186,36
2,16.5395,35,2.03572,31
3,15.5566,40,1.85287,32
4,14.2263,36,2.2194,31
5,23.1386,36,1.89125,34
6,21.4881,38,2.13387,32
7,13.4016,37,2.33812,33
8,14.1056,33,2.26786,34
9,10.0834,35,2.00372,30
