Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,11.8393,67,62.5359,
1,11.3862,72,39.006,46
2,11.3211,71,38.5568,46
3,10.9826,78,37.4956,46
4,11.4502,83,36.6614,58
5,10.7339,77,37.7808,49
6,10.9354,80,37.2223,55
7,10.3607,80,41.5637,53
8,10.5708,84,38.5065,60
9,10.3496,75,37.7328,61
