Image,Keypoint_detection_time,No_of_Kpts,Descriptor_extraction_time,No_of_matched_Kpts
0,17.9531,125,42.1064,
1,12.7659,118,24.1647,112
2,16.8053,123,26.1345,109
3,28.7739,120,19.1451,104
4,17.6073,120,19.5161,103
5,27.5863,113,25.5416,99
6,31.5442,114,19.6471,101
7,28.1446,123,41.044,96
8,13.5153,111,19.2328,106
9,13.8379,112,32.5617,97
